Network,Long Name,Code,Type,Motion,Cable Type,Cable length,Easting,Northing,Elev,Cmp01,x1,y1,z1,Cmp02,x2,y2,z2,Cmp03,x3,y3,z3
OT,SU08_4,88,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,625,651618.8394,4767485.174,592.8805177,x,0.665615,-0.746295,-0.000451,y,0.746293,0.665614,-0.002204,z,0.001945,0.001131,0.999997
OT,SU08_5,89,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,715,651618.5362,4767485.176,502.8810691,x,-0.254493,0.967074,0.001146,y,-0.967066,-0.254496,0.003788,z,0.003955,-0.000145,0.999992
OT,SU08_6,90,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,825,651618.2447,4767485.214,392.8815032,x,0.149805,0.988715,0.000368,y,-0.988712,0.149804,0.002805,z,0.002718,-0.000784,0.999996
OT,UGSS15_3GEO,91,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650263.798,4766707.983,-81.302,x,0,0,1,y,0,0,1,z,0,0,1
OT,SU06_1,92,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,295,652345.3474,4767906.801,927.9090769,x,-0.167224,-0.979455,0.112711,y,0.978506,-0.178871,-0.102624,z,0.120676,0.093127,0.988314
OT,SU06_2,93,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,535,652314.1624,4767885.889,690.8707372,x,0.927257,0.338176,-0.160724,y,-0.34667,0.937591,-0.027263,z,0.141474,0.080998,0.986623
OT,SU06_3,94,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,735,652284.494,4767870.585,493.6773127,x,0.75006,-0.658216,-0.064512,y,0.643864,0.749018,-0.156241,z,0.151161,0.075653,0.98561
OT,SU06_4,95,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,935,652253.415,4767856.761,296.5949014,x,-0.616569,-0.772663,0.15111,y,0.770082,-0.631794,-0.088376,z,0.163755,0.061877,0.984558
OT,SU06_5,96,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1085,652228.4767,4767848.655,148.9058894,x,0.574598,-0.816534,-0.055756,y,0.801195,0.575097,-0.16538,z,0.167104,0.050356,0.984653
OT,SU06_6,97,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1245,652202.9011,4767840.507,-3.75166421,x,0.502717,-0.863642,-0.037378,y,0.847952,0.501069,-0.172937,z,0.168084,0.055244,0.984223
OT,SU14_1,98,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,305,651531.3277,4768103.49,942.8432679,x,-0.344716,-0.906475,-0.243871,y,0.916646,-0.381049,0.120675,z,-0.202316,-0.181945,0.96227
OT,SU14_2,99,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,565,651582.6414,4768152.256,692.6685209,x,0.321026,0.915519,0.242417,y,-0.92666,0.356497,-0.119206,z,-0.195557,-0.18637,0.962821
OT,SU14_3,100,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,685,651605.6844,4768174.863,577.0927116,x,-0.54897,-0.792956,-0.264295,y,0.812407,-0.580552,0.054355,z,-0.196539,-0.184876,0.962909
OT,SU14_4,101,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,815,651631.314,4768197.92,451.7480566,x,-0.878808,0.467937,-0.093445,y,-0.433631,-0.864879,-0.252881,z,-0.199151,-0.181713,0.962974
OT,SU14_5,102,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,955,651659.0567,4768223.615,316.9519005,x,-0.561802,-0.782839,-0.267474,y,0.801905,-0.594777,0.056465,z,-0.20329,-0.182767,0.961909
OT,SU14_6,103,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1095,651688.3802,4768248.155,182.2763246,x,-0.713929,0.699506,-0.031564,y,-0.667296,-0.693331,-0.272045,z,-0.212181,-0.173158,0.961767
OT,SU02_1,104,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,210,651259.8724,4767982.736,1000.078552,x,0,0,1,y,0,0,1,z,-0.089382243,-0.008120481,0.995964293
OT,SU02_2,105,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,400,651277.0234,4767984.102,810.8596276,x,0,0,1,y,0,0,1,z,-0.086876321,-0.004498441,0.996208948
OT,SU02_3,106,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,580,651292.0778,4767985.015,631.4930545,x,0,0,1,y,0,0,1,z,-0.080968087,-0.002213348,0.996714237
OT,SU02_4,107,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,760,651306.5771,4767984.361,452.0805774,x,0.953408,0.292378,0.074351,y,-0.29056,0.956237,-0.034439,z,-0.081166,0.011231,0.996637
OT,SU02_5,108,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,890,651316.6866,4767982.68,322.4853369,x,0.54832,-0.834399,0.055885,y,0.83263,0.550941,0.056495,z,-0.077929,0.015554,0.996838
OT,SU02_6,109,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1030,651327.914,4767980.015,182.9620596,x,-0.674696,0.734669,-0.071046,y,-0.733623,-0.678074,-0.044864,z,-0.081135,0.021851,0.996464
OT,UGSS16_3GEO,110,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,651552.3,4767056.8,-157.9,x,1,0,0,y,0,1,0,z,0,0,1
OT,UGSS17_3GEO,111,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,651618.3,4766783.3,-149.4,x,1,0,0,y,0,1,0,z,0,0,1
OT,UGSS18_3GEO,112,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,651105.9,4767357.4,-144.3,x,1,0,0,y,0,1,0,z,0,0,1
